headline,lead_paragraph,pub_date,web_url,word_count
'MERCY' CASE DOCTOR RETURNS TO PRACTICE,"MANCHESTER, N.H., Dec. 31 --Dr. Herman N. Sander, free in $25,000 bail on a first-degree murder charge involving the alleged ""mercy"" slaying of a woman cancer patient, calmly resumed his medical practice today.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C00E0DB133AEF33A25752C0A9679C946192D6CF,230
"DRAMA MAILBAG; Sharp Words About Shaw--Critics' Views Challenged-Other Notes Dissenter Accolade Lighthouse Players Miss Kirk of ""Kate"" Aid to Television ""Regina"" Revival Predicted",,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B0DE7DA133AEF33A25752C0A9679C946192D6CF,730
"TO HOUSE 160 FAMILIES; Apartments for Elizabeth, N.J., Will Cost $500,000","ELIZABETH, N.J., Dec. 31-- A permit has been issued to Sheridan Gardens, Inc., for construction of an apartment development on Sheridan Avenue, between Alina and Virginia Streets, to cost 500,000 and to house 160 families. The development will include eight buildings of frame and masonry construction.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9D0CEEDA133AEF33A25752C0A9679C946192D6CF,175
"ART OF EAST, WEST FACES AUCTIONEER; Paintings, Period Furniture, Kreisler Porcelains Listed for Sales This Week","Letters by noted Americans, Oriental art and a collection of important English period furniture and decorations will be auctioned in three sales this week at the Parke-Bernet Galleries, 980 Madison Avenue.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9F00E7DA133AEF33A25752C0A9679C946192D6CF,614
WILLIAM D.DENSON MARRIES COUNTESS; A.E.C. Counsel and Constance von Francken-Stierstorpff Wed in Mountain Lakes,"MOUNTAIN LAKES, N.J., Dec. 31--Countess Constance von, Francken-Sierstorpff of Southampton, L.I., daughter of Princess Elisabeth Hohenlohe-Oehringen von Francken-Sierstorpff of Oehringen.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9A02EEDB133AEF33A25752C0A9679C946192D6CF,291
"STORE GAIN IN 1950 CALLS FOR EFFORT; Post-War Readjustments Over, Retailers Look for Greater Competition This Year","The main difference between gains and losses in retail sales during the coming year will be the amount and type of selling efforts used, merchants predicted last Week. Because of this it is believed that sharp variations will be ...",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9B06E3DA133AEF33A25752C0A9679C946192D6CF,1567
Day's Gifts for the Neediest Cases,,1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9E07EFDB133AEF33A25752C0A9679C946192D6CF,874
"LET ALL COMPETE, HOFFMAN INSISTS; E.C.A. Head Says in Letter to Brewster, Questioner, That Is Way to Get Europe Going","WASHINGTON, Dec.31--United States insistence on the opportunity to compete in world markets involves an obligation ""to let others compete with us"" and there is no other acceptable basis on which Europe can earn its way, Paul G. Hoffman, head of the Economic Cooperation Administration, holds.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9405E0DB133AEF33A25752C0A9679C946192D6CF,474
MISS ASPINWALL FIANCEE; Student at Smith Is Engaged to John Francis Knapp,"CATONSVILLE, Md., Dec.31-- Announcement has been made by Mr. and Mrs. George Bosworth Aspinwall of the engagement of their daughter, Mary-Leuise, to John Francis Knapp, son of Mr. and Mrs. Byron Whiting Knapp of Warren, Pa.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9400EEDB133AEF33A25752C0A9679C946192D6CF,100
"LORIOT, 2-1 CHOICE, CAPTURES FEATURE AT TROPICAL PARK; Defeats Bolo Mack by Length in Dade County Handicap-- Miss Disco Runs Third VICTOR LEADS FROM START Goes Six Furlongs in 1:10-- Arilou, Paying $31, Beats Favored Master Mind","CORAL GABLES, Fla., Dec. 31 --Loriot, a daughter of Menow from the Windsor Farms, led from flagpole to wire in the featured $5,000 Dade County Handicap at opical Park today.",1950-01-01,http://query.nytimes.com/gst/abstract.html?res=9C07E1DA133AEF33A25752C0A9679C946192D6CF,590
